#-----------------------------------------------------------
# xsim v2020.2 (64-bit)
# SW Build 3064766 on Wed Nov 18 09:12:45 MST 2020
# IP Build 3064653 on Wed Nov 18 14:17:31 MST 2020
# Start of session at: Wed May 22 22:46:35 2024
# Process ID: 10104
# Current directory: C:/Users/atomi/GitHub/hw-viv/div_archive
# Command line: xsim.exe -mode tcl -source {xsim.dir/div_tb_snapshot_p2/xsim_script.tcl}
# Log file: C:/Users/atomi/GitHub/hw-viv/div_archive/xsim.log
# Journal file: C:/Users/atomi/GitHub/hw-viv/div_archive\xsim.jou
#-----------------------------------------------------------
source xsim.dir/div_tb_snapshot_p2/xsim_script.tcl
# xsim {div_tb_snapshot_p2} -autoloadwcfg -runall
Vivado Simulator 2020.2
Time resolution is 1 ps
run -all
start of checking module div32p2
q    13901646228578035   21807873 1492674079            637459977
r    13901646228578035   21807873   17431777              7579114
q     9867996717322032    2312806 2251108193           4266677238
r     9867996717322032    2312806     660826              1212204
q      326433430510541    2186218 3240029305            149314217
r      326433430510541    2186218    1300070              1649235
q     2105858807163789    2096588 2314118926           1004421854
r     2105858807163789    2096588     527064              1129637
q      121454662401010      56904 1218054657           2134378293
r      121454662401010      56904      20920                16138
q      935342562145058     244181 3752179790           3830529656
r      935342562145058     244181     215322               213322
q      351294888312456     101914 2174581632           3446973804
r      351294888312456     101914      29952                51600
q       60666494663959      16150  334821289           3756439298
r       60666494663959      16150       8314                 1259
q      234858905681408      61916  358769475           3793186021
r      234858905681408      61916      40812                 5172
q       27790217485583      12277 1123681270           2263600023
r       27790217485583      12277       2962                 3212
q       48443677689297      23145  798312780           2093051531
r       48443677689297      23145      14292                 4302
q        4632090866745       9118 1469182166            508016107
r        4632090866745       9118       6636                 3119
q        6495215164265       3856 2861455130           1684443766
r        6495215164265       3856       2144                 2569
q        1130714151402        587 3036476026           1926259201
r        1130714151402        587        578                  415
q        4576077319378       1302  131949840           3514652319
r        4576077319378       1302        160                   40
q         153303175715        431   19930242            355691823
r         153303175715        431        290                    2
q         405475305194         95 1311095279           4268161107
r         405475305194         95         79                   29
q          48378007802        163 3767977443            296797593
r          48378007802        163        119                  143
q  1918809024644334732  710475493  684632515           2700739214
r  1918809024644334732  710475493  430615185            113252230
q   437048036607302922  255461677 1028840489           1710816439
r   437048036607302922  255461677  107469771             61194719
q    69362005008356445  269401782 3991786651            257466763
r    69362005008356445  269401782   77975502            250384779
q   281936795253847896   69415843  419743173           4061562650
r   281936795253847896   69415843   10540177              6783946
q   234247858104227870   57650874 2875160394           4063214342
r   234247858104227870   57650874   41486396             38592962
q    36599513918872985   13472174 2981351362           2716674674
r    36599513918872985   13472174   12707876              9351709
q     7515177829226693    7026757  378784962           1069508712
r     7515177829226693    7026757    4808630               619709
q    20497612268097069    4804347 1815229254           4266472065
r    20497612268097069    4804347    3303006              2030514
q    17070765220174555    5616268 1334917823           3039521123
r    17070765220174555    5616268    5247372              1745591
q     3862994306257709    1512732 1388763785           2553654121
r     3862994306257709    1512732     252932               489137
q     2172984402357883    1296903 3960464664           1675518062
r     2172984402357883    1296903     248920              1195897
q     1221843247269090     390373 2344967888           3129937898
r     1221843247269090     390373     258032               213136
q      311928063816700     169369 2019206973           1841706946
r      311928063816700     169369     101259                79626
q       93113322034318     178283  515469311            522278187
r       93113322034318     178283      59499                21397
q      141654360552645      95656 1389614272           1480872716
r      141654360552645      95656      41472                30949
q        6898531266428      42052 3605762518            164047637
r        6898531266428      42052      11048                35304
q        5882928601058       9056  623187613            649616674
r        5882928601058       9056       3616                 1314
q       17568317742192       4134   49868996           4249714016
r       17568317742192       4134        744                   48
q       14531545989642       3619 4007765835           4015348435
r       14531545989642       3619       1727                 3377
q        2347102387370        687  518897067           3416451801
r        2347102387370        687        539                   83
q        1985743298784       1250  116823110           1588594639
r        1985743298784       1250        564                   34
q         547431129967        511 1773460077           1071293796
r         547431129967        511        109                  211
q         957852398549        244  932923224           3925624584
r         957852398549        244         32                   53
q         329612487156         81 3817748707           4069289964
r         329612487156         81         45                   72
q   668212987944362555  596517526 1532366698           1120190034
r   668212987944362555  596517526   45802468            212826671
